frequency,target_spl
20.0,12.40704372461958
21.12708207498374,12.251889611906005
22.317679850154974,12.084990059139674
23.57537269587175,12.006708407986698
24.903941694700666,12.001263086027533
26.30738100872753,12.023848203228374
27.789909887462752,12.076635489558853
29.355985352441397,12.180951441330954
31.010315596652497,12.33572015250189
32.75787413908128,12.516495830897679
34.60391477691789,12.687152993767526
36.55398738038434,12.806923956897908
38.613954577665,12.832106428206068
40.79000938010114,12.727378923360996
43.08869380063767,12.503420950364891
45.51691852149578,12.223672967653268
48.08198367019944,11.95092150545917
50.79160076641657,11.736985555346838
53.65391590559452,11.627204011143803
56.67753424908855,11.635665052056765
59.87154589440981,11.740382462092946
63.2455532033676,11.867524241781517
66.80969967026489,11.92114933319634
70.57470041693503,11.867400437342418
74.55187440629881,11.732692252487862
78.75317847128777,11.537236732530177
83.19124326143695,11.245888818587446
87.87941121521581,10.77988108901789
92.83177667225557,10.104288464723705
98.06322824606525,9.263057471230356
103.58949358462426,8.308107332601526
109.4271866534179,7.240828095744044
115.59385768306628,6.0236073368718674
122.10804593170654,4.6589544950963475
128.9893354207524,3.1894218682053603
136.25841381159216,1.5987144724207534
143.93713460023045,-0.13081450386060967
152.0485828168525,-1.8564957293928284
160.61714442783025,-3.468656157611475
169.66857964881436,-5.005775810367822
179.230100389321,-6.415928645469275
189.330452061638,-7.622772286679968
200.00000000000003,-8.642965202279257
211.2708207498374,-9.45083494397456
223.17679850154963,-10.047866107858066
235.75372695871735,-10.484395702238213
249.03941694700643,-10.773902696327063
263.0738100872753,-10.910462354208368
277.8990988746275,-10.879167826670882
293.5598535244138,-10.69307107285531
310.1031559665251,-10.394797158781103
327.578741390813,-10.015673613308241
346.0391477691789,-9.588800743385736
365.5398738038435,-9.146395359600952
386.13954577665,-8.722884977119447
407.9000938010112,-8.340182779302545
430.8869380063765,-7.987100651593943
455.16918521495734,-7.638222293349468
480.8198367019944,-7.257067517953173
507.91600766416576,-6.77822048233549
536.539159055945,-6.110056566622724
566.7753424908858,-5.1778900045449054
598.7154589440981,-4.035653612689467
632.4555320336759,-2.939645968997901
668.096996702649,-2.1818402875234035
705.7470041693502,-1.836736543803752
745.5187440629877,-1.7251166903518995
787.5317847128769,-1.591320230678794
831.9124326143695,-1.2767016040285493
878.7941121521582,-0.7519623645613852
928.3177667225556,-0.057969973432287616
980.6322824606531,0.7449318989902259
1035.8949358462426,1.5913823310436261
1094.271866534179,2.4228482916196716
1155.938576830663,3.1910783188875262
1221.0804593170653,3.835581544827014
1289.8933542075242,4.3679865448310995
1362.5841381159219,4.951762163665858
1439.371346002303,5.689561081576056
1520.4858281685251,6.440817638250869
1606.1714442783025,6.993568484685805
1696.6857964881435,7.298213662269478
1792.30100389321,7.509561242471843
1893.3045206163802,7.811142089880043
2000.0000000000005,8.205487345595397
2112.708207498374,8.53790642115494
2231.7679850154964,8.585037788186025
2357.5372695871733,8.05612750788876
2490.394169470064,6.786431605212245
2630.738100872753,5.338572542127184
2778.990988746275,4.916046684588602
2935.5985352441385,5.643783197178742
3101.031559665248,6.0651104601316295
3275.787413908126,5.25066424460973
3460.391477691789,3.8707232597524373
3655.3987380384347,3.1725403628060977
3861.3954577664995,3.6667722072652023
4079.0009380101123,4.860846757116615
4308.869380063765,5.91523724388971
4551.691852149578,6.23956862716362
4808.198367019944,5.814028615149681
5079.160076641658,5.268101011110202
5365.3915905594495,5.149370214425506
5667.753424908852,4.8589033215268245
5987.154589440982,3.1529796596647657
6324.555320336759,-0.07513353595115624
6680.969967026489,-3.539634917273986
7057.470041693502,-5.871757862789013
7455.187440629877,-6.541556400336009
7875.317847128769,-6.060748331851043
8319.124326143696,-5.315844375624742
8787.941121521582,-4.616871539675783
9283.177667225556,-3.9683019795395458
9806.32282460652,-4.256679918545164
10358.949358462405,-6.495924933037713
10942.718665341792,-9.261892841725166
11559.385768306627,-9.470019756413127
12210.804593170655,-6.608645627097458
12898.933542075241,-3.512499273866754
13625.841381159218,-2.5449379044392653
14393.71346002303,-3.5425296681589353
15204.858281685267,-5.503231689559579
16061.714442783044,-7.950970616831231
16966.857964881452,-11.03241974865182
17923.0100389321,-15.209956085822704
18933.0452061638,-20.0
20000.0,-20.0
