Frequency,SPL
20.0,9.1311
20.272198,9.0056
20.5481,8.88
20.827758,8.7816
21.111221,8.7157
21.398543,8.6498
21.689775,8.5839
21.98497,8.5274
22.284184,8.5055
22.587469,8.4835
22.894882,8.4615
23.206479,8.4396
23.522317,8.4747
23.842453,8.5113
24.166946,8.5479
24.495856,8.5845
24.829242,8.6211
25.167165,8.6253
25.509688,8.6253
25.856872,8.6253
26.208781,8.6253
26.56548,8.6323
26.927033,8.6636
27.293507,8.695
27.664969,8.7264
28.041487,8.7578
28.423128,8.7892
28.809964,8.8295
29.202065,8.8923
29.599502,8.955
30.002348,9.0178
30.410677,9.0806
30.824563,9.1433
31.244082,9.2078
31.66931,9.2754
32.100326,9.343
32.537208,9.4106
32.980036,9.4782
33.428891,9.5458
33.883855,9.6028
34.345011,9.6577
34.812443,9.7127
35.286236,9.7676
35.766478,9.8225
36.253256,9.8514
36.746659,9.8714
37.246777,9.8913
37.753702,9.9113
38.267526,9.9282
38.788343,9.9099
39.316248,9.8916
39.851338,9.8733
40.393711,9.855
40.943465,9.8367
41.500701,9.7375
42.065522,9.6376
42.638029,9.5377
43.218328,9.4379
43.806525,9.3486
44.402727,9.281
45.007043,9.2134
45.619585,9.1458
46.240462,9.0782
46.86979,9.0106
47.507683,8.9469
48.154258,8.8841
48.809632,8.8214
49.473926,8.7586
50.147261,8.6958
50.82976,8.633
51.521548,8.6382
52.22275,8.6528
52.933497,8.6675
53.653916,8.6821
54.38414,8.6968
55.124302,8.7114
55.874538,8.7563
56.634985,8.8295
57.405781,8.9028
58.187068,8.976
58.978988,9.0492
59.781686,9.1538
60.595308,9.3002
61.420004,9.4467
62.255924,9.5932
63.10322,9.6949
63.962048,9.7681
64.832565,9.8414
65.71493,9.9146
66.609303,9.9565
67.515848,9.9903
68.434732,10.0241
69.366122,10.0579
70.310187,10.0917
71.267101,10.116
72.237039,10.116
73.220178,10.116
74.216697,10.116
75.226778,10.116
76.250607,10.113
77.288369,10.0973
78.340256,10.0816
79.406459,10.0659
80.487172,10.0502
81.582594,10.0345
82.692925,10.0012
83.818367,9.9167
84.959126,9.8322
86.115411,9.7477
87.287432,9.6632
88.475405,9.5787
89.679546,9.3705
90.900075,9.1194
92.137216,8.8683
93.391193,8.6605
94.662238,8.4652
95.950581,8.2699
97.256458,8.0746
98.580108,7.777
99.921773,7.4749
101.281698,7.1728
102.660131,6.9049
104.057325,6.6632
105.473534,6.4216
106.909018,6.1799
108.364038,5.9453
109.838862,5.7256
111.333757,5.5059
112.848998,5.208
114.384861,4.7686
115.941627,4.3292
117.51958,3.9917
119.119009,3.6778
120.740206,3.364
122.383468,2.9752
124.049094,2.5724
125.737389,2.1696
127.448662,1.7668
129.183225,1.364
130.941395,1.0625
132.723493,0.794
134.529846,0.5255
136.360783,0.2569
138.216639,-0.1718
140.097753,-0.6112
142.004469,-1.1853
143.937135,-1.7762
145.896104,-2.2705
147.881735,-2.7648
149.894389,-3.2592
151.934436,-3.6815
154.002248,-4.0769
156.098202,-4.3506
158.222682,-4.5459
160.376077,-4.7412
162.558778,-4.9365
164.771186,-5.325
167.013705,-5.7749
169.286743,-6.3242
171.590718,-6.8953
173.92605,-7.4995
176.293165,-7.8335
178.692497,-8.0532
181.124483,-8.2729
183.589568,-8.4585
186.088203,-8.5683
188.620843,-8.6782
191.187953,-8.788
193.790001,-9.2676
196.427463,-9.662
199.10082,-9.9915
201.810561,-10.3732
204.557182,-10.6673
207.341183,-10.6948
210.163075,-10.7223
213.023372,-10.7497
215.922598,-10.8481
218.861282,-10.9579
221.839961,-11.0678
224.85918,-11.3062
227.919489,-11.6907
231.02145,-11.7596
234.165627,-11.7351
237.352597,-11.7107
240.582941,-11.6863
243.857249,-11.7639
247.176121,-11.8463
250.540162,-11.9287
253.949987,-11.9956
257.40622,-12.0506
260.909491,-12.1055
264.460442,-12.1511
268.059721,-12.1511
271.707986,-12.1511
275.405903,-12.1511
279.154148,-12.1511
282.953407,-12.1067
286.804373,-12.0188
290.70775,-11.9309
294.664252,-11.843
298.674602,-11.7784
302.739532,-11.7784
306.859785,-11.7784
311.036114,-11.7784
315.269283,-11.6689
319.560065,-11.5434
323.909244,-11.4178
328.317614,-11.366
332.785983,-11.3221
337.315165,-11.2781
341.905989,-11.2342
346.559293,-11.1648
351.275929,-11.0824
356.056757,-11.0
360.902652,-10.9237
365.8145,-10.8638
370.793197,-10.8038
375.839653,-10.7439
380.954791,-10.684
386.139546,-10.6493
391.394864,-10.631
396.721707,-10.6127
402.121048,-10.5944
407.593873,-10.5761
413.141183,-10.5559
418.763991,-10.5339
424.463325,-10.5119
430.240226,-10.4899
436.095751,-10.4654
442.030968,-10.434
448.046963,-10.4026
454.144835,-10.3712
460.325698,-10.3398
466.590683,-10.3084
472.940933,-10.2566
479.377609,-10.1651
485.901888,-10.0736
492.514962,-9.982
499.218039,-9.8905
506.012344,-9.7723
512.899118,-9.5746
519.879622,-9.3769
526.955129,-9.1791
534.126932,-8.9806
541.396344,-8.706
548.764691,-8.4314
556.233321,-8.1567
563.803598,-7.803
571.476906,-7.4002
579.254646,-6.9907
587.138241,-6.4964
595.129131,-5.94
603.228776,-5.3039
611.438656,-4.8645
619.760272,-4.3802
628.195144,-3.831
636.744814,-3.3912
645.410844,-2.9957
654.194818,-2.6671
663.09834,-2.3847
672.123039,-2.1022
681.270563,-1.9273
690.542584,-1.8175
699.940796,-1.7076
709.466916,-1.5978
719.122686,-1.5235
728.909871,-1.5066
738.830257,-1.4897
748.885659,-1.4728
759.077915,-1.4559
769.408885,-1.439
779.880459,-1.3549
790.49455,-1.2607
801.253098,-1.1666
812.158068,-1.0724
823.211454,-0.9783
834.415276,-0.8841
845.77158,-0.7474
857.282442,-0.6075
868.949966,-0.4677
880.776284,-0.3279
892.763556,-0.1751
904.913975,0.0132
917.229759,0.2015
929.713159,0.3898
942.366458,0.5781
955.191966,0.7665
968.192028,0.9732
981.36902,1.2174
994.725349,1.4615
1008.263457,1.7056
1021.985816,1.9513
1035.894936,2.1984
1049.993357,2.4456
1064.283656,2.6894
1078.768445,2.9091
1093.45037,3.1288
1108.332115,3.3527
1123.416398,3.5999
1138.705977,3.8471
1154.203646,4.0942
1169.912236,4.3921
1185.834619,4.706
1201.973703,5.0198
1218.332439,5.172
1234.913815,5.2819
1251.720863,5.3917
1268.756652,5.5016
1286.024297,5.6235
1303.526952,5.7554
1321.267817,5.8872
1339.250133,6.019
1357.477187,6.1867
1375.952308,6.4339
1394.678875,6.681
1413.660308,6.9282
1432.900076,7.352
1452.401695,7.7914
1472.16873,8.0773
1492.204791,8.3245
1512.513542,8.5716
1533.098692,8.7878
1553.964004,8.9587
1575.113291,9.1296
1596.550417,9.3005
1618.2793,9.4446
1640.303911,9.5702
1662.628275,9.6957
1685.256471,9.6752
1708.192635,9.5653
1731.440957,9.4554
1755.005686,9.3818
1778.891129,9.4306
1803.101651,9.4795
1827.641674,9.5283
1852.515686,9.6087
1877.728229,9.7342
1903.283913,9.8598
1929.187407,9.9589
1955.443445,10.0248
1982.056825,10.0907
2009.03241,10.1566
2036.37513,10.2126
2064.089981,10.2295
2092.182029,10.2464
2120.656406,10.2633
2149.518317,10.2802
2178.773035,10.2971
2208.425907,10.1845
2238.482352,10.0136
2268.947861,9.8427
2299.828003,9.6719
2331.12842,9.4584
2362.854833,9.2387
2395.013039,9.019
2427.608915,8.6937
2460.648417,8.2543
2494.137583,7.5852
2528.082533,6.7216
2562.489471,5.8545
2597.364683,4.9628
2632.714544,3.8894
2668.545512,2.2527
2704.864136,1.1716
2741.677052,1.611
2778.990989,2.0504
2816.812764,3.123
2855.14929,5.3118
2894.007571,6.0442
2933.39471,6.7099
2973.317904,7.3339
3013.784448,7.9381
3054.801737,7.8812
3096.377268,7.7835
3138.518637,7.6859
3181.233546,7.5592
3224.5298,7.2296
3268.415312,6.9001
3312.8981,6.3791
3357.986295,5.72
3403.688136,5.0609
3450.011973,4.4018
3496.966274,3.7426
3544.559617,3.6874
3592.800701,3.6874
3641.698341,3.6874
3691.261472,4.0709
3741.499153,4.7075
3792.420563,5.059
3844.035008,5.4413
3896.351921,6.0271
3949.380861,6.613
4003.131519,7.3278
4057.613718,8.0355
4112.837414,8.5298
4168.812699,9.126
4225.549802,9.6939
4283.059091,10.0893
4341.351075,10.4749
4400.436406,10.8264
4460.325883,11.1602
4521.03045,11.3432
4582.561199,11.5263
4644.929375,11.4834
4708.146375,11.2637
4772.223753,11.044
4837.173216,10.6941
4903.006635,10.2547
4969.73604,9.9335
5037.373625,9.6259
5105.931751,9.5996
5175.422945,9.6546
5245.859907,9.7095
5317.255509,9.9329
5389.622798,10.4272
5462.974998,11.0851
5537.325513,11.8782
5612.687931,12.4332
5689.076024,12.7408
5766.503751,12.7541
5844.98526,12.4026
5924.534895,11.903
6005.167193,11.0223
6086.896887,9.5172
6169.738914,8.5905
6253.708412,6.9382
6338.820726,5.8081
6425.091409,4.9293
6512.536228,4.0504
6601.171162,2.9432
6691.012407,1.9514
6782.076383,1.1252
6874.379729,0.3159
6967.939315,-0.4492
7062.772236,-0.9435
7158.895824,-0.9395
7256.327644,-0.7748
7355.0855,-0.61
7455.187441,-0.3254
7556.651758,0.1689
7659.496994,0.6999
7763.741943,1.2492
7869.405655,1.7451
7976.507438,2.2243
8085.066866,2.6637
8195.103776,3.0635
8306.638277,3.2466
8419.690751,3.4297
8534.281857,3.4006
8650.432536,3.2358
8768.164013,3.071
8887.497804,3.0138
9008.455715,3.3433
9131.05985,3.6729
9255.332615,4.0024
9381.296719,4.6038
9508.975181,5.4451
9638.391334,6.5111
9769.568826,6.4336
9902.531631,6.159
10037.304046,5.8844
10173.910699,4.5754
10312.376554,3.2242
10452.726915,0.9183
10594.987429,-1.7339
10739.184094,-4.3398
10885.343261,-6.1527
11033.491638,-8.1901
11183.6563,-8.6295
11335.864686,-8.8391
11490.144613,-8.7136
11646.524274,-8.5881
11805.032245,-8.0362
11965.697492,-6.7918
12128.549378,-3.8477
12293.61766,0.1327
12460.932504,1.6244
12630.524485,2.9615
12802.424596,3.6705
12976.664249,3.4508
13153.275285,3.2311
13332.289979,2.7382
13513.741044,2.0441
13697.661639,1.4582
13884.085374,0.8
14073.046316,0.2195
14264.578997,-0.3308
14458.718418,-0.935
14655.500056,-1.5806
14854.959871,-2.3024
15057.134313,-2.8297
15262.060328,-3.357
15469.775365,-4.7332
15680.317382,-6.0221
15893.724853,-6.9858
16110.036777,-7.8082
16329.292685,-8.3551
16551.532641,-8.7945
16776.797261,-9.2339
17005.127708,-9.7169
17236.565708,-10.3131
17471.153556,-12.6345
17708.934119,-14.6975
17949.950851,-16.4998
18194.247795,-18.2734
18441.869595,-19.4024
18692.861502,-20.4474
18947.269382,-21.2538
19205.139726,-22.6891
19466.519659,-26.1111
19731.456945,-30.7638
20000.0,-31.8095
